Name	number
MSTRG.33350.3	15
MSTRG.32578.3	4
MSTRG.8275.4	34
MSTRG.8766.1	2
MSTRG.6072.1	4
MSTRG.10880.1	3
MSTRG.35273.1	2
MSTRG.26849.2	7
MSTRG.27130.5	11
MSTRG.18426.1	1
MSTRG.33667.3	14
MSTRG.6389.1	10
MSTRG.20346.1	2
MSTRG.7161.1	8
MSTRG.27938.2	2
MSTRG.19515.1	15
MSTRG.2089.3	2
MSTRG.7478.1	6
MSTRG.21435.1	1
MSTRG.26613.7	3
MSTRG.10317.2	8
MSTRG.577.2	2
MSTRG.14490.2	9
MSTRG.26333.2	9
MSTRG.17138.1	1
MSTRG.10681.1	7
MSTRG.22524.1	2
MSTRG.11406.2	11
MSTRG.8076.4	21
MSTRG.8567.1	2
MSTRG.18227.1	2
MSTRG.20147.1	4
MSTRG.9656.1	3
MSTRG.11770.1	3
MSTRG.23613.1	2
MSTRG.28511.2	2
MSTRG.19316.1	4
MSTRG.8051.1	1
MSTRG.10118.2	3
MSTRG.23439.4	4
MSTRG.21236.1	2
MSTRG.26134.2	11
MSTRG.1547.2	10
MSTRG.31520.2	4
MSTRG.8368.1	2
MSTRG.22325.1	3
MSTRG.9140.1	5
MSTRG.11207.2	17
MSTRG.29917.2	3
MSTRG.2636.2	6
MSTRG.34812.5	16
MSTRG.4068.3	10
MSTRG.11571.1	2
MSTRG.23414.1	2
MSTRG.9457.1	13
MSTRG.19697.1	2
MSTRG.10499.2	7
MSTRG.15397.3	2
MSTRG.26706.4	6
MSTRG.12660.1	1
MSTRG.24503.1	2
MSTRG.29401.2	6
MSTRG.18092.1	3
MSTRG.22126.1	6
MSTRG.11008.2	4
MSTRG.25101.4	6
MSTRG.19181.1	19
MSTRG.31638.2	2
MSTRG.7335.3	2
MSTRG.925.1	4
MSTRG.25909.1	8
MSTRG.23215.1	11
MSTRG.19498.1	1
MSTRG.29782.2	9
MSTRG.24304.1	3
MSTRG.1149.2	32
MSTRG.3890.1	12
MSTRG.33816.2	2
MSTRG.27685.7	3
MSTRG.3010.2	3
MSTRG.32211.2	7
MSTRG.23596.1	11
MSTRG.726.1	3
MSTRG.3327.2	3
MSTRG.24685.1	2
MSTRG.29583.2	7
MSTRG.4416.2	10
MSTRG.20385.3	3
MSTRG.25774.1	7
MSTRG.23080.1	2
MSTRG.210.1	6
MSTRG.23397.1	3
MSTRG.12279.2	3
MSTRG.527.1	6
MSTRG.35393.8	7
MSTRG.33101.2	2
MSTRG.24486.1	4
MSTRG.4797.2	2
MSTRG.25575.1	2
MSTRG.3192.2	9
MSTRG.21555.8	13
MSTRG.72.1	12
MSTRG.10648.1	2
MSTRG.8090.3	6
MSTRG.26664.1	3
MSTRG.26173.4	10
MSTRG.11737.1	3
MSTRG.27753.1	2
MSTRG.10132.1	1
MSTRG.25165.9	5
MSTRG.14258.2	14
MSTRG.392.1	1
MSTRG.28842.1	2
MSTRG.25376.1	2
MSTRG.32965.4	9
MSTRG.30762.1	3
MSTRG.5196.5	14
MSTRG.10449.1	7
MSTRG.29931.1	3
MSTRG.26465.1	12
MSTRG.1878.1	3
MSTRG.4082.2	3
MSTRG.34008.3	8
MSTRG.33283.2	3
MSTRG.27343.9	8
MSTRG.25140.6	12
MSTRG.11538.1	20
MSTRG.25631.3	19
MSTRG.22165.3	10
MSTRG.27554.1	1
MSTRG.7865.2	2
MSTRG.12627.1	3
MSTRG.23254.3	6
MSTRG.193.1	12
MSTRG.28643.1	7
MSTRG.30563.1	6
MSTRG.6260.2	2
MSTRG.13225.4	1
MSTRG.13716.1	9
MSTRG.11022.1	8
MSTRG.31932.6	11
MSTRG.29732.1	2
MSTRG.1679.1	2
MSTRG.31652.1	13
MSTRG.6577.2	15
MSTRG.20534.2	7
MSTRG.14805.1	2
MSTRG.12111.1	4
MSTRG.11339.1	3
MSTRG.2768.1	1
MSTRG.32741.1	1
MSTRG.31969.1	1
MSTRG.21623.2	5
MSTRG.10505.3	3
MSTRG.13200.1	3
MSTRG.12428.1	2
MSTRG.28444.1	10
MSTRG.3857.1	1
MSTRG.1163.1	3
MSTRG.6341.7	11
MSTRG.33830.1	14
MSTRG.30364.1	2
MSTRG.22712.2	9
MSTRG.8264.5	9
MSTRG.8755.2	8
MSTRG.6061.2	12
MSTRG.13517.1	1
MSTRG.29533.1	3
MSTRG.4946.1	4
MSTRG.2252.1	1
MSTRG.31453.1	1
MSTRG.14606.1	2
MSTRG.2569.1	7
MSTRG.3341.1	21
MSTRG.32542.1	4
MSTRG.17407.7	8
MSTRG.13001.1	2
MSTRG.30314.11	4
MSTRG.3658.1	2
MSTRG.4430.1	9
MSTRG.33631.1	6
MSTRG.8556.2	13
MSTRG.13898.1	2
MSTRG.4747.1	2
MSTRG.2053.1	2
MSTRG.34720.1	2
MSTRG.23602.2	12
MSTRG.14987.1	4
MSTRG.12293.1	3
MSTRG.14407.1	5
MSTRG.32623.6	3
MSTRG.5836.1	5
MSTRG.3142.1	1
MSTRG.15585.4	8
MSTRG.13382.1	2
MSTRG.6925.1	3
MSTRG.4231.1	4
MSTRG.22894.2	3
MSTRG.33432.1	6
MSTRG.13699.1	2
MSTRG.18597.2	2
MSTRG.39.1	22
MSTRG.4548.1	1
MSTRG.20708.4	6
MSTRG.5320.1	11
MSTRG.34521.1	5
MSTRG.14788.1	7
MSTRG.12094.1	8
MSTRG.3714.3	3
MSTRG.33449.2	2
MSTRG.30221.3	9
MSTRG.10488.3	8
MSTRG.5637.1	7
MSTRG.35610.1	2
MSTRG.15877.1	2
MSTRG.13183.1	1
MSTRG.18081.2	3
MSTRG.6726.1	7
MSTRG.4032.1	3
MSTRG.29796.6	4
MSTRG.16475.4	5
MSTRG.16966.1	2
MSTRG.14272.1	2
MSTRG.2426.3	3
MSTRG.7815.1	10
MSTRG.5121.1	3
MSTRG.21090.2	5
MSTRG.15361.1	5
MSTRG.14589.1	5
MSTRG.35991.1	3
MSTRG.6210.1	5
MSTRG.15958.6	4
MSTRG.13755.3	20
MSTRG.8904.1	7
MSTRG.15678.1	2
MSTRG.16450.1	20
MSTRG.20082.7	15
MSTRG.25962.2	28
MSTRG.16767.1	1
MSTRG.14073.1	2
MSTRG.32780.3	6
MSTRG.23585.2	2
MSTRG.12467.3	7
MSTRG.29208.4	12
MSTRG.715.2	3
MSTRG.17856.1	15
MSTRG.15162.1	8
MSTRG.27005.1	1
MSTRG.6591.1	4
MSTRG.35792.1	1
MSTRG.8705.1	3
MSTRG.6011.1	6
MSTRG.4985.3	3
MSTRG.18945.1	2
MSTRG.16251.1	3
MSTRG.20865.1	9
MSTRG.6330.12	10
MSTRG.7100.1	1
MSTRG.25272.5	14
MSTRG.17340.1	2
MSTRG.3380.3	16
MSTRG.6028.2	8
MSTRG.10836.2	5
MSTRG.7997.1	5
MSTRG.21954.1	1
MSTRG.17657.1	5
MSTRG.6392.1	8
MSTRG.16823.3	3
MSTRG.18746.1	2
MSTRG.16052.1	2
MSTRG.32509.1	2
MSTRG.20666.1	1
MSTRG.9684.4	14
MSTRG.7481.1	8
MSTRG.580.2	9
MSTRG.26098.1	3
MSTRG.25564.2	10
MSTRG.3181.3	13
MSTRG.19835.1	2
MSTRG.17141.1	1
MSTRG.7798.1	12
MSTRG.21755.1	2
MSTRG.8570.1	4
MSTRG.24730.4	4
MSTRG.26653.2	13
MSTRG.18230.1	18
MSTRG.6964.3	3
MSTRG.22844.1	3
MSTRG.20150.1	2
MSTRG.8887.1	3
MSTRG.6193.1	3
MSTRG.27742.2	9
MSTRG.31865.5	5
MSTRG.3109.1	1
MSTRG.12815.2	12
MSTRG.10121.2	10
MSTRG.9976.1	1
MSTRG.7282.1	1
MSTRG.23933.1	2
MSTRG.8007.2	2
MSTRG.5676.3	3
MSTRG.8371.1	1
MSTRG.13904.2	5
MSTRG.11210.2	5
MSTRG.21556.1	2
MSTRG.22645.1	3
MSTRG.9460.1	2
MSTRG.28077.1	18
MSTRG.19120.1	7
MSTRG.23734.1	3
MSTRG.21040.1	12
MSTRG.12616.2	2
MSTRG.29166.1	12
MSTRG.18048.2	2
MSTRG.1351.2	24
MSTRG.31086.1	7
MSTRG.11011.2	13
MSTRG.24823.1	2
MSTRG.29721.2	16
MSTRG.9261.1	5
MSTRG.25912.1	11
MSTRG.2757.2	22
MSTRG.8189.2	9
MSTRG.12997.2	12
MSTRG.30633.7	7
MSTRG.6330.8	10
MSTRG.8744.3	3
MSTRG.6050.3	14
MSTRG.18984.3	16
MSTRG.4935.2	10
MSTRG.12481.2	3
MSTRG.25713.1	1
MSTRG.15129.1	2
MSTRG.35759.1	1
MSTRG.33065.1	22
MSTRG.26802.1	1
MSTRG.34154.1	1
MSTRG.9079.2	2
MSTRG.11193.2	3
MSTRG.35243.1	2
MSTRG.14976.2	5
MSTRG.530.1	2
MSTRG.30900.1	8
MSTRG.3131.2	2
MSTRG.6359.1	7
MSTRG.10185.7	5
MSTRG.10676.4	17
MSTRG.5825.2	2
MSTRG.13371.2	2
MSTRG.16019.1	7
MSTRG.6914.2	4
MSTRG.13688.2	4
MSTRG.14460.2	6
MSTRG.17108.1	3
MSTRG.35044.1	2
MSTRG.25895.1	1
MSTRG.1500.1	1
MSTRG.30701.1	2
MSTRG.10968.1	3
MSTRG.20117.1	2
MSTRG.26984.1	2
MSTRG.24290.1	2
MSTRG.25015.2	5
MSTRG.1817.1	2
MSTRG.22684.3	8
MSTRG.7249.1	2
MSTRG.16955.2	2
MSTRG.14261.2	7
MSTRG.26104.2	13
MSTRG.30227.5	7
MSTRG.21850.5	5
MSTRG.2906.1	2
MSTRG.34891.2	2
MSTRG.8.4	3
MSTRG.8338.1	14
MSTRG.10452.1	1
MSTRG.23994.16	11
MSTRG.1301.1	3
MSTRG.35980.2	2
MSTRG.11541.1	2
MSTRG.10769.1	5
MSTRG.9427.1	3
MSTRG.11858.1	1
MSTRG.21007.1	1
MSTRG.429.7	5
MSTRG.12630.1	6
MSTRG.16756.2	7
MSTRG.12947.1	2
MSTRG.10253.1	11
MSTRG.8139.1	3
MSTRG.1682.1	2
MSTRG.17845.2	2
MSTRG.18379.1	4
MSTRG.28963.1	5
MSTRG.30883.1	2
MSTRG.6580.2	6
MSTRG.9228.1	1
MSTRG.11342.1	6
MSTRG.16240.2	7
MSTRG.1999.1	2
MSTRG.2771.1	5
MSTRG.31972.1	2
MSTRG.30003.2	5
MSTRG.14634.4	4
MSTRG.12431.1	2
MSTRG.25752.3	2
MSTRG.3860.1	3
MSTRG.7986.2	11
MSTRG.5292.2	8
MSTRG.35218.3	3
MSTRG.13520.1	2
MSTRG.30964.6	9
MSTRG.1483.1	3
MSTRG.9029.1	2
MSTRG.13837.1	2
MSTRG.2572.1	2
MSTRG.19269.1	3
MSTRG.21189.1	14
MSTRG.14926.1	4
MSTRG.12232.1	2
MSTRG.3661.1	7
MSTRG.32862.1	11
MSTRG.22278.1	2
MSTRG.27176.2	38
MSTRG.13321.1	4
MSTRG.3978.1	1
MSTRG.4750.1	2
MSTRG.20910.4	2
MSTRG.33951.1	1
MSTRG.23367.1	2
MSTRG.28265.2	3
MSTRG.14410.1	14
MSTRG.32879.2	7
MSTRG.2373.1	2
MSTRG.18236.3	3
MSTRG.3462.1	10
MSTRG.21825.7	8
MSTRG.22359.6	4
MSTRG.22079.1	1
MSTRG.1856.3	8
MSTRG.4551.1	5
MSTRG.7288.3	2
MSTRG.14791.1	18
MSTRG.23168.1	2
MSTRG.16905.1	1
MSTRG.5640.1	15
MSTRG.13269.10	2
MSTRG.24257.1	2
MSTRG.15880.1	3
MSTRG.29155.2	7
MSTRG.15300.1	4
MSTRG.24812.2	8
MSTRG.25346.1	7
MSTRG.32164.2	12
MSTRG.679.1	5
MSTRG.14592.1	2
MSTRG.26435.1	8
MSTRG.8178.3	29
MSTRG.24829.3	4
MSTRG.15681.1	3
MSTRG.24058.1	2
MSTRG.4369.2	3
MSTRG.3835.3	5
MSTRG.6530.1	14
MSTRG.25147.1	3
MSTRG.16770.1	2
MSTRG.163.1	1
MSTRG.5458.2	3
MSTRG.26236.1	4
MSTRG.15118.2	3
MSTRG.33054.2	13
MSTRG.11309.1	3
MSTRG.15482.1	2
MSTRG.27325.1	1
MSTRG.31939.1	1
MSTRG.13876.3	2
MSTRG.11182.3	6
MSTRG.9068.3	4
MSTRG.16571.1	14
MSTRG.28414.1	1
MSTRG.30334.1	1
MSTRG.5259.2	4
MSTRG.29503.1	9
MSTRG.17660.1	7
MSTRG.26037.1	11
MSTRG.31423.1	2
MSTRG.27126.1	1
MSTRG.2539.1	1
MSTRG.16008.2	6
MSTRG.28215.1	15
MSTRG.32829.1	1
MSTRG.30135.1	5
MSTRG.29304.1	1
MSTRG.33918.1	8
MSTRG.31224.1	4
MSTRG.6149.2	6
MSTRG.8890.1	4
MSTRG.20106.2	10
MSTRG.36122.2	2
MSTRG.25004.3	4
MSTRG.22953.9	11
MSTRG.18550.1	2
MSTRG.32313.1	16
MSTRG.20470.1	3
MSTRG.28596.1	1
MSTRG.30707.3	2
MSTRG.3429.1	3
MSTRG.35605.4	13
MSTRG.33402.1	3
MSTRG.29685.1	10
MSTRG.29105.1	3
MSTRG.4518.1	2
MSTRG.33719.1	2
MSTRG.31025.1	5
MSTRG.8691.1	4
MSTRG.24851.4	6
MSTRG.28080.1	6
MSTRG.5607.1	1
MSTRG.34808.1	4
MSTRG.32114.1	1
MSTRG.9780.1	4
MSTRG.138.3	19
MSTRG.28397.1	9
MSTRG.17279.2	15
MSTRG.4002.1	19
MSTRG.33203.1	17
MSTRG.12936.2	3
MSTRG.29486.1	1
MSTRG.3874.5	4
MSTRG.1671.2	16
MSTRG.4319.1	2
MSTRG.14559.1	2
MSTRG.2760.2	5
MSTRG.32495.1	1
MSTRG.5408.1	2
MSTRG.21377.2	19
MSTRG.799.8	4
MSTRG.1197.6	15
MSTRG.28198.1	4
MSTRG.33584.1	2
MSTRG.11348.3	7
MSTRG.29287.1	3
MSTRG.20369.7	16
MSTRG.18169.2	19
MSTRG.34673.1	11
MSTRG.34182.4	4
MSTRG.20089.2	4
MSTRG.28453.3	3
MSTRG.5789.1	3
MSTRG.3095.1	1
MSTRG.19258.2	9
MSTRG.32296.1	7
MSTRG.5209.1	2
MSTRG.21178.2	5
MSTRG.26847.5	2
MSTRG.15449.1	1
MSTRG.4184.1	14
MSTRG.33385.1	2
MSTRG.16538.1	7
MSTRG.7476.4	14
MSTRG.34474.1	3
MSTRG.9399.2	2
MSTRG.17627.1	8
MSTRG.8565.4	3
MSTRG.35563.1	1
MSTRG.33652.15	8
MSTRG.16022.1	14
MSTRG.18225.4	3
MSTRG.18716.1	2
MSTRG.31263.3	4
MSTRG.6679.1	3
MSTRG.10996.4	2
MSTRG.33186.1	6
MSTRG.16339.1	2
MSTRG.31.2	3
MSTRG.17111.1	3
MSTRG.7768.1	2
MSTRG.5074.1	2
MSTRG.34275.1	13
MSTRG.23157.2	9
MSTRG.3468.3	6
MSTRG.17428.1	1
MSTRG.10971.1	7
MSTRG.8857.1	2
MSTRG.6163.1	2
MSTRG.35364.1	4
MSTRG.29144.3	2
MSTRG.18517.1	22
MSTRG.1820.1	2
MSTRG.31064.3	9
MSTRG.20437.1	3
MSTRG.7252.1	7
MSTRG.28310.5	2
MSTRG.19606.1	2
MSTRG.34847.3	19
MSTRG.32153.3	11
MSTRG.14861.7	6
MSTRG.10408.2	1
MSTRG.7569.1	9
MSTRG.21526.1	2
MSTRG.14581.2	3
MSTRG.15306.3	2
MSTRG.17229.1	2
MSTRG.18001.1	2
MSTRG.8658.1	2
MSTRG.10772.1	3
MSTRG.22615.1	1
MSTRG.27022.5	4
MSTRG.18318.1	2
MSTRG.7053.1	2
MSTRG.11861.1	2
MSTRG.21010.1	1
MSTRG.20238.1	9
MSTRG.9256.4	4
MSTRG.9747.1	1
MSTRG.25136.2	21
MSTRG.2710.1	2
MSTRG.5447.3	4
MSTRG.19407.1	1
MSTRG.21327.1	2
MSTRG.8142.1	1
MSTRG.12950.1	12
MSTRG.26225.2	14
MSTRG.6682.11	26
MSTRG.22416.1	9
MSTRG.9231.1	2
MSTRG.18979.6	15
MSTRG.8459.1	11
MSTRG.18699.1	7
MSTRG.31928.2	3
MSTRG.7625.3	4
MSTRG.9548.1	1
MSTRG.11662.1	5
MSTRG.23505.1	6
MSTRG.28403.2	3
MSTRG.19788.1	9
MSTRG.17094.1	1
MSTRG.12751.1	2
MSTRG.15488.3	9
MSTRG.18183.1	2
MSTRG.29001.5	6
MSTRG.31412.2	7
MSTRG.6337.3	4
MSTRG.22797.1	13
MSTRG.13840.1	1
MSTRG.16577.3	3
MSTRG.22217.1	5
MSTRG.9032.1	1
MSTRG.19272.1	5
MSTRG.34704.5	7
MSTRG.21192.1	10
MSTRG.23306.1	2
MSTRG.26090.2	6
MSTRG.2892.1	2
MSTRG.28204.2	6
MSTRG.3617.2	2
MSTRG.19589.1	2
MSTRG.3981.1	2
MSTRG.31213.2	3
MSTRG.22598.1	3
MSTRG.36111.3	2
MSTRG.500.1	3
MSTRG.19073.1	4
MSTRG.23687.1	5
MSTRG.12569.2	1
MSTRG.326.4	22
MSTRG.817.1	8
MSTRG.14730.1	3
MSTRG.8316.3	2
MSTRG.24776.1	2
MSTRG.22082.1	7
MSTRG.18065.6	15
MSTRG.25865.1	2
MSTRG.23171.1	2
MSTRG.22399.1	4
MSTRG.301.1	3
MSTRG.24260.1	2
MSTRG.23488.1	11
MSTRG.618.1	3
MSTRG.3799.2	16
MSTRG.33772.2	33
MSTRG.22163.6	8
MSTRG.5960.1	1
MSTRG.24577.1	11
MSTRG.13459.2	5
MSTRG.1660.3	11
MSTRG.4888.2	8
MSTRG.18357.3	6
MSTRG.31395.2	2
MSTRG.20277.3	5
MSTRG.25666.1	2
MSTRG.102.1	9
MSTRG.7541.10	4
MSTRG.8181.3	2
MSTRG.10739.1	2
MSTRG.999.1	10
MSTRG.26755.1	4
MSTRG.24061.1	1
MSTRG.33573.2	3
MSTRG.9270.3	8
MSTRG.11828.1	3
MSTRG.27844.1	4
MSTRG.25150.1	2
MSTRG.16726.2	8
MSTRG.14032.2	2
MSTRG.4689.2	3
MSTRG.34171.5	4
MSTRG.10223.1	7
MSTRG.17815.2	9
MSTRG.15121.2	4
MSTRG.25467.1	13
MSTRG.14349.2	2
MSTRG.483.1	8
MSTRG.28933.1	1
MSTRG.30853.1	1
MSTRG.5778.2	3
MSTRG.35260.5	7
MSTRG.16210.2	7
MSTRG.26556.1	10
MSTRG.1969.1	10
MSTRG.15438.2	17
MSTRG.11629.1	2
MSTRG.16527.2	4
MSTRG.27645.1	2
MSTRG.32540.4	8
MSTRG.7956.2	3
MSTRG.12718.1	4
MSTRG.10024.1	4
MSTRG.284.1	2
MSTRG.28734.1	2
MSTRG.26040.1	6
MSTRG.30654.1	2
MSTRG.5579.2	20
MSTRG.6351.2	3
MSTRG.13807.1	5
MSTRG.11113.1	2
MSTRG.29823.1	8
MSTRG.17980.1	14
MSTRG.16011.2	4
MSTRG.31743.1	2
MSTRG.6668.2	4
MSTRG.12202.1	2
MSTRG.25523.3	8
MSTRG.2859.1	6
MSTRG.32832.1	5
MSTRG.12519.1	2
MSTRG.28535.1	11
MSTRG.3457.4	7
MSTRG.3948.1	2
MSTRG.1254.1	3
MSTRG.33921.1	2
MSTRG.30455.1	2
MSTRG.16392.2	6
MSTRG.13608.1	1
MSTRG.29624.1	4
MSTRG.18506.2	15
MSTRG.2343.1	3
MSTRG.31544.1	39
MSTRG.25324.3	2
MSTRG.12003.1	4
MSTRG.3432.1	2
MSTRG.32633.1	2
MSTRG.21515.2	2
MSTRG.3749.1	4
MSTRG.1055.1	9
MSTRG.33722.1	1
MSTRG.22604.2	12
MSTRG.13989.1	2
MSTRG.11295.1	2
MSTRG.8647.2	13
MSTRG.4838.1	5
MSTRG.2144.1	2
MSTRG.34811.1	2
MSTRG.12384.1	8
MSTRG.9736.2	2
MSTRG.141.3	7
MSTRG.3233.1	4
MSTRG.5927.1	2
MSTRG.35900.1	2
MSTRG.15676.4	8
MSTRG.4322.1	5
MSTRG.33523.1	1
MSTRG.11096.1	5
MSTRG.16765.4	5
MSTRG.18688.2	11
MSTRG.1991.2	2
MSTRG.19460.2	6
MSTRG.5411.1	24
MSTRG.4639.1	10
MSTRG.34612.1	2
MSTRG.14879.1	1
MSTRG.12185.1	3
MSTRG.17083.2	3
MSTRG.6500.1	2
MSTRG.5728.1	3
MSTRG.3034.1	2
MSTRG.21697.2	2
MSTRG.35701.1	2
MSTRG.15968.1	6
MSTRG.13274.1	2
MSTRG.29290.1	1
MSTRG.18172.2	6
MSTRG.6817.1	5
MSTRG.4123.1	2
MSTRG.20092.2	2
MSTRG.14363.1	31
MSTRG.15360.10	8
MSTRG.34993.1	2
MSTRG.21181.2	2
MSTRG.7906.1	6
MSTRG.5212.1	6
MSTRG.15452.1	26
MSTRG.6301.1	9
MSTRG.24964.2	3
MSTRG.13075.1	2
MSTRG.16541.1	1
MSTRG.15769.1	2
MSTRG.2001.3	3
MSTRG.12241.3	15
MSTRG.16367.4	4
MSTRG.16858.1	2
MSTRG.14164.1	8
MSTRG.26007.1	1
MSTRG.10635.5	10
MSTRG.5593.1	1
MSTRG.34794.1	4
MSTRG.7707.1	10
MSTRG.17947.1	17
MSTRG.15253.1	9
MSTRG.3987.3	3
MSTRG.6682.1	24
MSTRG.15077.12	49
MSTRG.35883.1	1
MSTRG.6102.1	12
MSTRG.22071.2	3
MSTRG.16342.1	3
MSTRG.18545.4	19
MSTRG.6999.1	2
MSTRG.20956.1	2
MSTRG.35003.2	4
MSTRG.23160.2	2
MSTRG.12042.3	2
MSTRG.25854.2	1
MSTRG.16659.1	2
MSTRG.17431.1	3
MSTRG.5394.1	10
MSTRG.6119.2	13
MSTRG.10927.2	5
MSTRG.18520.1	2
MSTRG.17748.1	3
MSTRG.15054.1	7
MSTRG.20440.1	2
MSTRG.6483.1	2
MSTRG.27541.5	2
MSTRG.16914.3	2
MSTRG.18837.1	2
MSTRG.16143.1	2
MSTRG.20757.1	3
MSTRG.7572.1	1
MSTRG.26189.1	8
MSTRG.19926.1	4
MSTRG.17232.1	2
MSTRG.8661.1	14
MSTRG.7889.1	1
MSTRG.21846.1	11
MSTRG.988.2	4
MSTRG.15626.3	13
MSTRG.18321.1	1
MSTRG.8978.1	3
MSTRG.6284.1	2
MSTRG.22935.1	5
MSTRG.20241.1	7
MSTRG.7009.2	4
MSTRG.9750.1	4
MSTRG.11326.5	3
MSTRG.11817.2	3
MSTRG.108.3	7
MSTRG.2755.5	16
MSTRG.31956.5	4
MSTRG.19410.1	7
MSTRG.7373.1	2
MSTRG.21330.1	4
MSTRG.15707.8	5
MSTRG.21647.1	2
MSTRG.8462.1	1
MSTRG.27079.1	1
MSTRG.22736.1	3
MSTRG.20042.1	2
MSTRG.9551.1	2
MSTRG.11618.2	7
MSTRG.19791.1	2
MSTRG.28168.1	1
MSTRG.30088.1	5
MSTRG.19211.1	10
MSTRG.19897.9	11
MSTRG.23825.1	2
MSTRG.21131.1	4
MSTRG.29257.1	2
MSTRG.31177.1	4
MSTRG.30643.2	13
MSTRG.20059.2	4
MSTRG.24914.1	4
MSTRG.22220.1	2
MSTRG.2531.2	14
MSTRG.9352.1	6
MSTRG.5332.8	11
MSTRG.19592.1	12
MSTRG.32821.2	5
MSTRG.7746.3	4
MSTRG.17986.3	4
MSTRG.28804.7	15
MSTRG.29058.1	3
MSTRG.11483.2	6
MSTRG.6141.3	6
MSTRG.32347.6	5
MSTRG.19029.2	7
MSTRG.32067.1	2
